Time,I,Q
51:10.0,518,520
51:10.0,528,522
51:10.0,521,524
51:10.0,518,520
51:10.0,519,521
51:10.0,524,525
51:10.0,522,526
51:10.0,523,526
51:10.0,523,524
51:10.0,524,519
51:10.0,530,520
51:10.0,523,517
51:10.0,519,521
51:10.0,520,523
51:10.0,522,522
51:10.0,528,526
51:10.0,521,526
51:10.0,522,523
51:10.0,527,522
51:10.0,520,519
51:10.0,522,523
51:10.0,516,523
51:10.0,519,523
51:10.0,528,524
51:10.0,522,526
51:10.0,524,517
51:10.0,527,522
51:10.0,527,517
51:10.0,525,520
51:10.0,523,520
51:10.0,519,521
51:10.0,527,521
51:10.0,523,523
51:10.0,522,524
51:10.1,519,523
51:10.1,518,521
51:10.1,519,520
51:10.1,524,521
51:10.1,522,520
51:10.1,525,524
51:10.1,524,524
51:10.1,523,523
51:10.1,520,519
51:10.1,526,522
51:10.1,523,521
51:10.1,520,521
51:10.1,527,522
51:10.1,525,517
51:10.1,524,519
51:10.1,523,522
51:10.1,523,523
51:10.1,526,522
51:10.1,522,523
51:10.1,520,525
51:10.1,515,523
51:10.1,520,522
51:10.1,523,522
51:10.1,521,524
51:10.1,519,520
51:10.1,525,523
51:10.1,523,523
51:10.1,521,522
51:10.1,522,518
51:10.1,526,521
51:10.1,524,520
51:10.1,524,521
51:10.1,523,523
51:10.1,522,522
51:10.1,526,520
51:10.1,525,523
51:10.1,522,522
51:10.1,521,521
51:10.1,526,523
51:10.1,523,526
51:10.2,518,519
51:10.2,526,521
51:10.2,524,524
51:10.2,520,519
51:10.2,530,521
51:10.2,521,523
51:10.2,524,523
51:10.2,527,525
51:10.2,522,522
51:10.2,514,524
51:10.2,525,521
51:10.2,523,519
51:10.2,531,523
51:10.2,523,522
51:10.2,518,520
51:10.2,524,524
51:10.2,521,526
51:10.2,520,525
51:10.2,522,523
51:10.2,525,528
51:10.2,522,523
51:10.2,523,524
51:10.2,525,522
51:10.2,523,521
51:10.2,521,521
51:10.2,523,526
51:10.2,521,523
51:10.2,524,524
51:10.2,521,518
51:10.2,524,521
51:10.2,524,521
51:10.2,523,523
51:10.2,521,524
51:10.2,523,520
51:10.2,524,524
51:10.2,520,524
51:10.2,524,524
51:10.2,520,524
51:10.2,527,520
51:10.2,525,522
51:10.2,521,519
51:10.3,526,525
51:10.3,520,520
51:10.3,523,522
51:10.3,521,522
51:10.3,528,521
51:10.3,521,522
51:10.3,526,519
51:10.3,528,520
51:10.3,526,519
51:10.3,523,522
51:10.3,525,521
51:10.3,525,522
51:10.3,522,524
51:10.3,516,519
51:10.3,522,518
51:10.3,523,521
51:10.3,526,516
51:10.3,526,523
51:10.3,524,521
51:10.3,519,520
51:10.3,520,522
51:10.3,525,522
51:10.3,523,520
51:10.3,521,525
51:10.3,515,523
51:10.3,526,524
51:10.3,520,523
51:10.3,523,520
51:10.3,527,521
51:10.3,521,523
51:10.3,527,522
51:10.3,521,523
51:10.3,516,522
51:10.3,528,522
51:10.3,521,521
51:10.3,519,520
51:10.3,524,522
51:10.3,523,522
51:10.3,526,526
51:10.3,520,525
51:10.3,522,520
51:10.3,524,521
51:10.3,528,525
51:10.3,518,522
51:10.3,521,524
51:10.3,521,521
51:10.3,519,523
51:10.3,522,522
51:10.3,519,522
51:10.3,524,520
51:10.3,526,519
51:10.3,520,522
51:10.3,522,522
51:10.3,521,519
51:10.3,530,521
51:10.3,525,521
51:10.3,521,520
51:10.3,527,522
51:10.3,521,523
51:10.3,518,521
51:10.4,524,520
51:10.4,524,520
51:10.4,519,521
51:10.4,519,522
51:10.4,520,525
51:10.4,517,524
51:10.4,524,518
51:10.4,531,522
