Time,I,Q
51:10.7,519,526
51:10.7,524,524
51:10.8,522,519
51:10.8,529,523
51:10.8,517,522
51:10.8,521,521
51:10.8,525,520
51:10.8,528,518
51:10.8,526,519
51:10.8,522,517
51:10.8,518,521
51:10.8,526,524
51:10.8,520,525
51:10.8,522,523
51:10.8,520,523
51:10.8,529,522
51:10.8,527,521
51:10.8,520,521
51:10.8,522,521
51:10.8,526,522
51:10.8,523,526
51:10.8,518,526
51:10.8,524,520
51:10.8,524,525
51:10.8,520,522
51:10.8,516,524
51:10.8,515,522
51:10.8,522,520
51:10.8,525,521
51:10.8,523,521
51:10.8,523,518
51:10.8,526,524
51:10.8,522,520
51:10.8,525,525
51:10.8,521,525
51:10.8,521,527
51:10.8,521,520
51:10.8,521,522
51:10.8,524,521
51:10.8,524,518
51:10.8,528,521
51:10.8,520,522
51:10.8,519,522
51:10.8,524,520
51:10.8,525,520
51:10.9,525,521
51:10.9,518,521
51:10.9,524,523
51:10.9,525,521
51:10.9,523,519
51:10.9,530,522
51:10.9,519,522
51:10.9,525,518
51:10.9,524,523
51:10.9,525,521
51:10.9,525,520
51:10.9,521,521
51:10.9,519,526
51:10.9,519,522
51:10.9,527,522
51:10.9,519,522
51:10.9,522,520
51:10.9,524,525
51:10.9,518,517
51:10.9,528,521
51:10.9,522,523
51:10.9,520,523
51:10.9,524,525
51:10.9,518,526
51:10.9,522,526
51:10.9,516,523
51:10.9,522,521
51:10.9,524,518
51:10.9,526,522
51:10.9,526,522
51:10.9,523,524
51:10.9,522,524
51:10.9,521,522
51:10.9,527,524
51:10.9,520,524
51:10.9,520,526
51:10.9,521,524
51:10.9,520,522
51:10.9,526,521
51:10.9,524,519
51:10.9,524,520
51:10.9,518,521
51:10.9,522,523
51:11.0,517,518
51:11.0,522,521
51:11.0,521,518
51:11.0,520,523
51:11.0,521,522
51:11.0,522,521
51:11.0,519,524
51:11.0,520,523
51:11.0,527,520
51:11.0,530,521
51:11.0,524,523
51:11.0,523,522
51:11.0,523,520
51:11.0,522,523
51:11.0,522,522
51:11.0,522,522
51:11.0,522,515
51:11.0,524,522
51:11.0,518,523
51:11.0,521,521
51:11.0,526,524
51:11.0,514,522
51:11.0,523,521
51:11.0,523,524
51:11.0,522,523
51:11.0,524,526
51:11.0,514,521
51:11.0,523,517
51:11.0,525,517
51:11.0,525,520
51:11.0,526,522
51:11.0,530,523
51:11.0,523,523
51:11.0,518,522
51:11.0,520,523
51:11.0,519,524
51:11.0,522,525
51:11.0,522,525
51:11.0,526,518
51:11.0,523,523
51:11.0,525,524
51:11.0,519,521
51:11.0,526,521
51:11.0,523,519
51:11.1,522,522
51:11.1,520,520
51:11.1,518,517
51:11.1,525,524
51:11.1,520,520
51:11.1,530,521
51:11.1,526,522
51:11.1,521,524
51:11.1,521,523
51:11.1,528,523
51:11.1,520,523
51:11.1,524,521
51:11.1,522,522
51:11.1,522,521
51:11.1,528,523
51:11.1,522,522
51:11.1,522,516
51:11.1,525,522
51:11.1,525,521
51:11.1,521,522
51:11.1,524,520
51:11.1,517,519
51:11.1,522,519
51:11.1,532,524
51:11.1,519,519
51:11.1,529,523
51:11.1,523,521
51:11.1,523,520
51:11.1,527,526
51:11.1,522,523
51:11.1,519,526
51:11.1,514,523
51:11.1,523,525
